verb,frame_no,active_score,passive_score,pass_drop
washed,28,-32.28684616088867,-33.72615432739258,1.4393081665039062
pushed,27,-31.353771209716797,-32.35744857788086,1.0036773681640625
required,23,-26.26401710510254,-34.260231018066406,7.996213912963867
lasted,23,-23.056682586669922,-45.33769226074219,22.281009674072266
lasted,22,-22.171306610107422,-46.809593200683594,24.638286590576172
earned,10,-32.87255859375,-37.55174255371094,4.6791839599609375
helped,5,-34.43378829956055,-30.304622650146484,-4.1291656494140625
discharged,14,-36.41030502319336,-41.09546661376953,4.685161590576172
saw,31,-25.951648712158203,-43.15446853637695,17.20281982421875
dropped,29,-33.71388626098633,-30.395967483520508,-3.3179187774658203
lasted,21,-22.28934097290039,-43.36198043823242,21.07263946533203
earned,8,-33.4354133605957,-35.586097717285156,2.150684356689453
emanated,14,-37.06781005859375,-45.60179138183594,8.533981323242188
knew,33,-27.692306518554688,-33.93648147583008,6.244174957275391
discharged,12,-36.13814163208008,-38.520904541015625,2.382762908935547
took,22,-23.24551773071289,-38.127464294433594,14.881946563720703
strengthened,5,-35.61819839477539,-27.686506271362305,-7.931692123413086
strengthened,2,-30.08252716064453,-32.62537384033203,2.5428466796875
carried,30,-29.77926254272461,-31.509620666503906,1.7303581237792969
