verb,frame_no,active_score,passive_score,pass_drop
remembered,35,-30.657276153564453,-32.959327697753906,2.302051544189453
mirrored,19,-25.866159439086914,-30.880043029785156,5.013883590698242
dropped,29,-32.19499588012695,-35.221656799316406,3.026660919189453
matched,16,-37.37194061279297,-35.5701789855957,-1.8017616271972656
approximated,18,-43.345584869384766,-47.22840118408203,3.8828163146972656
liked,34,-26.865829467773438,-39.832275390625,12.966445922851562
heard,32,-28.961488723754883,-31.093650817871094,2.132162094116211
hit,26,-25.8216552734375,-28.63450050354004,2.812845230102539
profited,1,-31.375751495361328,-45.48017501831055,14.104423522949219
lasted,21,-21.720977783203125,-39.230079650878906,17.50910186767578
cost,7,-29.02379608154297,-40.875614166259766,11.851818084716797
discharged,12,-39.751670837402344,-42.58220672607422,2.830535888671875
washed,28,-31.334373474121094,-38.56397247314453,7.2295989990234375
remembered,35,-32.05793762207031,-45.912723541259766,13.854785919189453
dropped,29,-35.682029724121094,-33.363624572753906,-2.3184051513671875
fetched,8,-33.84097671508789,-40.68743896484375,6.846462249755859
dropped,29,-30.737890243530273,-35.40596389770508,4.668073654174805
hit,26,-25.61606216430664,-40.28834533691406,14.672283172607422
saw,31,-27.77235984802246,-38.75849914550781,10.986139297485352
dropped,29,-28.02606201171875,-38.964111328125,10.93804931640625
liked,34,-31.151840209960938,-31.785823822021484,0.6339836120605469
helped,2,-32.788719177246094,-34.93863296508789,2.149913787841797
cost,10,-31.516586303710938,-47.27881622314453,15.762229919433594
knew,33,-26.706981658935547,-34.41695022583008,7.709968566894531
carried,30,-23.19081687927246,-32.740028381347656,9.549211502075195
hit,26,-29.38742446899414,-30.964725494384766,1.577301025390625
helped,4,-31.86492347717285,-31.66224479675293,-0.20267868041992188
discharged,13,-39.86602783203125,-39.92655944824219,0.0605316162109375
strengthened,1,-29.35207748413086,-40.221923828125,10.86984634399414
washed,28,-31.37664031982422,-33.55580520629883,2.1791648864746094
discharged,11,-29.915706634521484,-39.93281555175781,10.017108917236328
earned,8,-34.720985412597656,-32.96648025512695,-1.7545051574707031
matched,19,-29.305435180664062,-26.9668025970459,-2.338632583618164
required,22,-27.20513343811035,-37.92013168334961,10.714998245239258
saw,31,-30.879047393798828,-33.822669982910156,2.943622589111328
required,24,-31.279417037963867,-47.048213958740234,15.768796920776367
approximated,16,-41.113365173339844,-39.89487838745117,-1.2184867858886719
remembered,35,-35.17497253417969,-41.68328857421875,6.5083160400390625
mirrored,20,-28.218948364257812,-37.8632698059082,9.64432144165039
