verb,frame_no,active_score,passive_score,pass_drop
radiated,12,-38.80254364013672,-43.2646369934082,4.462093353271484
helped,4,-33.63593673706055,-29.699634552001953,-3.9363021850585938
took,22,-24.438692092895508,-39.826377868652344,15.387685775756836
discharged,11,-35.488372802734375,-38.51762390136719,3.0292510986328125
discharged,12,-36.770240783691406,-43.38871383666992,6.618473052978516
knew,33,-27.975025177001953,-29.857688903808594,1.8826637268066406
radiated,11,-27.88315200805664,-38.818294525146484,10.935142517089844
emanated,11,-33.40274429321289,-40.42873764038086,7.025993347167969
matched,17,-29.321014404296875,-33.87376022338867,4.552745819091797
profited,5,-37.15253829956055,-32.25982666015625,-4.892711639404297
dropped,29,-30.494407653808594,-34.91419219970703,4.4197845458984375
took,25,-26.810518264770508,-45.41117858886719,18.60066032409668
required,23,-29.1024112701416,-37.16107940673828,8.05866813659668
lasted,24,-24.549663543701172,-51.660438537597656,27.110774993896484
emitted,12,-30.49409294128418,-38.77754592895508,8.283452987670898
saw,31,-29.329423904418945,-34.091407775878906,4.761983871459961
emitted,15,-37.60148239135742,-33.790794372558594,-3.810688018798828
discharged,15,-39.53432083129883,-41.724552154541016,2.1902313232421875
hit,26,-27.3592472076416,-42.09380340576172,14.734556198120117
mirrored,18,-32.960060119628906,-35.31139373779297,2.3513336181640625
knew,33,-28.5545654296875,-38.90071105957031,10.346145629882812
lasted,21,-23.443317413330078,-40.662174224853516,17.218856811523438
dropped,29,-33.97509002685547,-33.72047424316406,-0.25461578369140625
liked,34,-32.137535095214844,-36.08562469482422,3.948089599609375
took,21,-21.658958435058594,-33.19606018066406,11.537101745605469
helped,2,-33.44244384765625,-35.07712173461914,1.6346778869628906
mirrored,16,-39.1260986328125,-37.10129928588867,-2.024799346923828
mirrored,19,-24.69221305847168,-29.601741790771484,4.909528732299805
discharged,14,-39.555023193359375,-44.26829528808594,4.7132720947265625
required,24,-33.59159469604492,-48.12592315673828,14.53432846069336
pushed,27,-28.79070472717285,-32.78617477416992,3.9954700469970703
strengthened,2,-36.19978332519531,-36.72779083251953,0.5280075073242188
remembered,35,-35.550533294677734,-41.670196533203125,6.119663238525391
washed,28,-33.008880615234375,-35.654327392578125,2.64544677734375
earned,10,-28.619129180908203,-35.51841354370117,6.899284362792969
strengthened,4,-39.073360443115234,-35.11548614501953,-3.957874298095703
heard,32,-31.6817684173584,-41.807735443115234,10.125967025756836
emanated,15,-43.712608337402344,-40.022735595703125,-3.6898727416992188
lasted,22,-24.156635284423828,-47.644134521484375,23.487499237060547
emanated,14,-35.51605987548828,-46.90628433227539,11.39022445678711
liked,34,-27.191059112548828,-39.922489166259766,12.731430053710938
knew,33,-27.055187225341797,-33.11597442626953,6.060787200927734
earned,8,-31.9394474029541,-36.418338775634766,4.478891372680664
carried,30,-31.175634384155273,-29.893051147460938,-1.282583236694336
remembered,35,-30.581937789916992,-30.239784240722656,-0.34215354919433594
carried,30,-31.378787994384766,-39.09691619873047,7.718128204345703
approximated,17,-33.206993103027344,-41.923919677734375,8.716926574707031
liked,34,-29.065582275390625,-27.82318878173828,-1.2423934936523438
mirrored,20,-30.411869049072266,-35.489341735839844,5.077472686767578
saw,31,-25.942365646362305,-29.10497283935547,3.162607192993164
profited,4,-37.95904541015625,-35.235260009765625,-2.723785400390625
benefited,3,-31.9113826751709,-33.6419563293457,1.7305736541748047
emitted,13,-34.049530029296875,-34.26476287841797,0.21523284912109375
