verb,frame_no,active_score,passive_score,pass_drop
resembled,18,-32.00090408325195,-38.72509765625,6.724193572998047
required,25,-37.39488983154297,-43.57270050048828,6.1778106689453125
remembered,35,-33.73190689086914,-42.64208221435547,8.910175323486328
fetched,10,-34.965003967285156,-44.07640838623047,9.111404418945312
lasted,25,-29.139469146728516,-48.37434005737305,19.23487091064453
radiated,14,-36.28547668457031,-45.033912658691406,8.748435974121094
cost,6,-34.93289566040039,-51.119911193847656,16.187015533447266
benefited,5,-29.535823822021484,-32.507774353027344,2.9719505310058594
strengthened,2,-34.997901916503906,-35.71188735961914,0.7139854431152344
required,22,-30.014244079589844,-41.78471374511719,11.770469665527344
pushed,27,-32.644535064697266,-33.381656646728516,0.73712158203125
discharged,12,-36.85728454589844,-36.74882125854492,-0.10846328735351562
heard,32,-24.380901336669922,-33.64081573486328,9.25991439819336
required,23,-29.84946060180664,-36.0390510559082,6.1895904541015625
radiated,11,-32.749488830566406,-34.20333480834961,1.4538459777832031
emanated,15,-43.659061431884766,-40.53265380859375,-3.1264076232910156
helped,2,-35.48862838745117,-34.80431365966797,-0.6843147277832031
took,24,-29.092247009277344,-41.98118591308594,12.888938903808594
emitted,14,-35.93635940551758,-43.119720458984375,7.183361053466797
dropped,29,-27.846065521240234,-39.6583251953125,11.812259674072266
carried,30,-24.968894958496094,-33.80712890625,8.838233947753906
knew,33,-25.870445251464844,-38.125831604003906,12.255386352539062
matched,17,-31.48907470703125,-36.044986724853516,4.555912017822266
cost,9,-28.55921173095703,-45.300201416015625,16.740989685058594
profited,5,-39.192359924316406,-35.110984802246094,-4.0813751220703125
mirrored,17,-31.3028564453125,-38.93470001220703,7.631843566894531
radiated,15,-44.223819732666016,-39.64356994628906,-4.580249786376953
hit,26,-31.906917572021484,-32.27409744262695,0.36717987060546875
dropped,29,-28.94207000732422,-30.634023666381836,1.6919536590576172
helped,1,-29.488086700439453,-37.6226806640625,8.134593963623047
knew,33,-29.22931480407715,-35.34305191040039,6.113737106323242
knew,33,-30.089920043945312,-40.03863525390625,9.948715209960938
heard,32,-32.23842239379883,-33.33248519897461,1.0940628051757812
fetched,7,-37.89093780517578,-40.36875915527344,2.4778213500976562
resembled,19,-28.64226531982422,-34.10922622680664,5.466960906982422
emanated,12,-41.936729431152344,-44.12685775756836,2.1901283264160156
resembled,17,-33.425193786621094,-38.45745086669922,5.032257080078125
saw,31,-29.557279586791992,-36.0938720703125,6.536592483520508
resembled,20,-27.531967163085938,-40.54064178466797,13.008674621582031
mirrored,19,-28.52175521850586,-34.202178955078125,5.680423736572266
cost,10,-28.36133575439453,-43.55364227294922,15.192306518554688
