verb,frame_no,active_score,passive_score,pass_drop
carried,30,-26.700624465942383,-37.78664016723633,11.086015701293945
took,24,-30.15226936340332,-43.022193908691406,12.869924545288086
dropped,29,-26.704303741455078,-38.644710540771484,11.940406799316406
fetched,6,-43.33814239501953,-58.41476821899414,15.07662582397461
resembled,18,-33.926658630371094,-45.09107971191406,11.164421081542969
emanated,14,-41.470062255859375,-42.54075241088867,1.0706901550292969
required,22,-33.1513671875,-41.68998336791992,8.538616180419922
remembered,35,-29.11478042602539,-39.361793518066406,10.247013092041016
emitted,14,-38.891807556152344,-39.414493560791016,0.5226860046386719
helped,4,-32.52235412597656,-27.50197410583496,-5.020380020141602
resembled,20,-32.2762336730957,-48.72187805175781,16.44564437866211
took,21,-20.836244583129883,-33.016082763671875,12.179838180541992
liked,34,-28.55133819580078,-42.19529342651367,13.64395523071289
saw,31,-28.17466163635254,-34.38458251953125,6.209920883178711
resembled,17,-28.22085189819336,-41.31945037841797,13.09859848022461
remembered,35,-37.02517318725586,-41.8427734375,4.817600250244141
required,23,-29.339229583740234,-41.793006896972656,12.453777313232422
lasted,21,-22.19818687438965,-38.727294921875,16.52910804748535
resembled,19,-27.639253616333008,-34.67472839355469,7.03547477722168
resembled,16,-36.587120056152344,-44.44532012939453,7.8582000732421875
profited,5,-36.58595275878906,-33.073638916015625,-3.5123138427734375
took,22,-26.174148559570312,-42.52531814575195,16.35116958618164
approximated,18,-41.239234924316406,-41.09442138671875,-0.14481353759765625
fetched,7,-33.97601318359375,-42.99539566040039,9.01938247680664
liked,34,-34.82990646362305,-39.339508056640625,4.509601593017578
carried,30,-31.58837127685547,-33.68403244018555,2.095661163330078
lasted,23,-24.877920150756836,-47.61859130859375,22.740671157836914
washed,28,-31.232664108276367,-35.37672424316406,4.144060134887695
dropped,29,-28.978975296020508,-31.713790893554688,2.7348155975341797
liked,34,-27.801410675048828,-37.72815704345703,9.926746368408203
liked,34,-31.828895568847656,-31.833541870117188,0.00464630126953125
knew,33,-25.32499885559082,-34.10209655761719,8.777097702026367
emitted,13,-35.26921463012695,-36.02865219116211,0.7594375610351562
remembered,35,-34.41135787963867,-40.973846435546875,6.562488555908203
profited,3,-38.17357635498047,-39.71908950805664,1.5455131530761719
discharged,12,-35.70878601074219,-38.61793518066406,2.909149169921875
heard,32,-25.244014739990234,-32.901710510253906,7.657695770263672
mirrored,18,-35.12227249145508,-41.913230895996094,6.790958404541016
required,24,-31.83279037475586,-45.295814514160156,13.463024139404297
remembered,35,-30.97756576538086,-42.4715690612793,11.494003295898438
discharged,14,-38.340003967285156,-40.59404754638672,2.2540435791015625
heard,32,-30.237789154052734,-35.22134017944336,4.983551025390625
helped,3,-27.543781280517578,-28.0609130859375,0.5171318054199219
approximated,16,-41.794105529785156,-39.79591751098633,-1.9981880187988281
washed,28,-33.87935256958008,-37.30467224121094,3.4253196716308594
pushed,27,-35.703155517578125,-34.39652633666992,-1.3066291809082031
emitted,15,-45.221832275390625,-38.579315185546875,-6.64251708984375
radiated,12,-37.506046295166016,-39.8707389831543,2.3646926879882812
cost,9,-30.562355041503906,-42.288394927978516,11.72603988647461
strengthened,4,-35.49238967895508,-33.633888244628906,-1.8585014343261719
hit,26,-27.201034545898438,-31.718868255615234,4.517833709716797
earned,7,-35.594146728515625,-40.40595245361328,4.811805725097656
heard,32,-31.52269744873047,-36.53379821777344,5.011100769042969
cost,6,-44.628360748291016,-56.95550537109375,12.327144622802734
heard,32,-29.704256057739258,-43.744468688964844,14.040212631225586
lasted,25,-27.454639434814453,-51.60240936279297,24.147769927978516
radiated,11,-32.47109603881836,-39.262855529785156,6.791759490966797
dropped,29,-35.83246994018555,-32.80073547363281,-3.0317344665527344
remembered,35,-32.486778259277344,-33.213043212890625,0.7262649536132812
pushed,27,-31.408714294433594,-37.31796646118164,5.909252166748047
radiated,15,-45.07933807373047,-43.181644439697266,-1.8976936340332031
strengthened,5,-35.1402587890625,-28.468509674072266,-6.671749114990234
washed,28,-32.30244064331055,-42.2314567565918,9.92901611328125
matched,17,-30.755916595458984,-36.122398376464844,5.366481781005859
liked,34,-28.92610740661621,-42.27573776245117,13.349630355834961
mirrored,16,-39.296409606933594,-37.52118682861328,-1.7752227783203125
hit,26,-31.582420349121094,-33.661865234375,2.0794448852539062
lasted,24,-23.40830421447754,-49.2047004699707,25.796396255493164
took,25,-28.195213317871094,-44.07488250732422,15.879669189453125
dropped,29,-30.604726791381836,-33.58122253417969,2.9764957427978516
fetched,8,-32.934532165527344,-41.622154235839844,8.6876220703125
fetched,10,-33.61396789550781,-42.93901062011719,9.325042724609375
emanated,12,-42.83582305908203,-41.30860137939453,-1.5272216796875
saw,31,-31.448850631713867,-33.69573974609375,2.246889114379883
matched,20,-27.745851516723633,-37.38114929199219,9.635297775268555
earned,8,-33.23963165283203,-35.53483200073242,2.2952003479003906
pushed,27,-33.508460998535156,-35.953514099121094,2.4450531005859375
required,25,-38.18284225463867,-47.41630554199219,9.233463287353516
mirrored,19,-28.16590118408203,-32.82331848144531,4.657417297363281
profited,4,-38.16951370239258,-32.443153381347656,-5.726360321044922
washed,28,-33.127960205078125,-37.47835159301758,4.350391387939453
approximated,17,-40.28483581542969,-40.64325714111328,0.35842132568359375
pushed,27,-30.795780181884766,-31.494855880737305,0.6990756988525391
approximated,20,-38.32715606689453,-41.96134567260742,3.6341896057128906
emanated,13,-47.259334564208984,-42.824825286865234,-4.43450927734375
matched,16,-33.034019470214844,-35.77912139892578,2.7451019287109375
matched,19,-26.87978744506836,-28.573970794677734,1.694183349609375
saw,31,-32.096038818359375,-37.01848602294922,4.922447204589844
fetched,9,-36.421016693115234,-44.868656158447266,8.447639465332031
earned,6,-42.62849426269531,-53.40064239501953,10.772148132324219
heard,32,-29.687698364257812,-41.898460388183594,12.210762023925781
radiated,14,-36.17662811279297,-43.04264831542969,6.866020202636719
took,23,-24.442764282226562,-38.568302154541016,14.125537872314453
lasted,22,-22.596363067626953,-47.72937774658203,25.133014678955078
discharged,13,-42.407798767089844,-40.82634735107422,-1.581451416015625
helped,1,-30.200523376464844,-36.227134704589844,6.026611328125
hit,26,-30.542192459106445,-31.15453338623047,0.6123409271240234
dropped,29,-29.54077911376953,-34.90945053100586,5.368671417236328
cost,7,-28.057279586791992,-46.087467193603516,18.030187606811523
strengthened,1,-31.382219314575195,-41.423919677734375,10.04170036315918
mirrored,20,-30.871829986572266,-39.07740020751953,8.205570220947266
carried,30,-32.564308166503906,-40.655784606933594,8.091476440429688
profited,1,-37.68962860107422,-44.382904052734375,6.693275451660156
emanated,11,-39.5588493347168,-38.16468811035156,-1.3941612243652344
earned,10,-28.3521728515625,-35.29696273803711,6.944789886474609
helped,5,-33.062339782714844,-28.216503143310547,-4.845836639404297
knew,33,-27.483808517456055,-34.874263763427734,7.39045524597168
knew,33,-26.698583602905273,-33.695255279541016,6.996671676635742
strengthened,2,-33.97472381591797,-35.100772857666016,1.1260490417480469
emitted,11,-37.82398223876953,-37.8787956237793,0.054813385009765625
discharged,11,-36.27458953857422,-37.257537841796875,0.9829483032226562
profited,2,-42.24763107299805,-40.61322784423828,-1.6344032287597656
strengthened,3,-28.927738189697266,-31.394760131835938,2.467021942138672
saw,31,-27.28362464904785,-40.824623107910156,13.540998458862305
washed,28,-35.50342559814453,-36.465328216552734,0.9619026184082031
benefited,4,-32.17939758300781,-32.49089050292969,0.311492919921875
approximated,19,-32.48893737792969,-32.51860809326172,0.02967071533203125
saw,31,-28.32046890258789,-39.698570251464844,11.378101348876953
required,21,-29.640975952148438,-34.36256408691406,4.721588134765625
radiated,13,-38.33960723876953,-45.22064971923828,6.88104248046875
carried,30,-26.0784912109375,-39.45039367675781,13.371902465820312
benefited,2,-36.98157501220703,-34.8892936706543,-2.0922813415527344
cost,10,-29.371906280517578,-42.700809478759766,13.328903198242188
benefited,5,-31.54399299621582,-31.796131134033203,0.2521381378173828
discharged,15,-40.391517639160156,-43.607025146484375,3.2155075073242188
helped,2,-33.403404235839844,-32.09720993041992,-1.3061943054199219
carried,30,-34.48432922363281,-36.54237365722656,2.05804443359375
earned,9,-31.385602951049805,-39.64403533935547,8.258432388305664
benefited,1,-29.08477020263672,-40.753143310546875,11.668373107910156
hit,26,-27.825407028198242,-33.22455596923828,5.399148941040039
knew,33,-29.33812713623047,-31.679698944091797,2.341571807861328
emanated,15,-45.03744888305664,-42.621639251708984,-2.4158096313476562
hit,26,-25.840333938598633,-39.488155364990234,13.647821426391602
benefited,3,-30.847326278686523,-32.35361862182617,1.5062923431396484
cost,8,-25.795623779296875,-41.60667037963867,15.811046600341797
knew,33,-27.558080673217773,-36.987083435058594,9.42900276184082
matched,18,-33.15208435058594,-36.208335876464844,3.0562515258789062
emitted,12,-31.236896514892578,-36.13059997558594,4.893703460693359
mirrored,17,-29.72929573059082,-38.52847671508789,8.79918098449707
pushed,27,-31.871692657470703,-33.88239288330078,2.010700225830078
